id_transaction,id_client,date_transaction,montant,categorie,canal,satisfaction
T0001,C001,2024-11-28,89.90,Mode,Web,5
T0002,C001,2024-10-15,145.00,Beauté,Web,4
T0003,C001,2024-09-03,67.50,Mode,Web,5
T0004,C001,2024-07-22,210.00,Mode,Web,5
T0005,C001,2024-06-10,55.00,Beauté,Web,4
T0006,C001,2024-04-18,178.00,Mode,Web,5
T0007,C001,2024-02-29,92.00,Mode,Web,4
T0008,C001,2024-01-14,134.50,Beauté,Web,5
T0009,C002,2024-11-05,450.00,Electronique,Magasin,4
T0010,C002,2024-08-20,1200.00,Electronique,Magasin,5
T0011,C002,2024-05-14,89.00,Electronique,Magasin,3
T0012,C002,2024-01-30,680.00,Electronique,Magasin,4
T0013,C003,2024-12-01,45.00,Beauté,Web,5
T0014,C003,2024-11-10,38.00,Beauté,Web,4
T0015,C003,2024-10-22,72.00,Mode,Web,5
T0016,C003,2024-09-15,29.50,Beauté,Web,4
T0017,C003,2024-08-08,55.00,Mode,Web,5
T0018,C003,2024-07-01,41.00,Beauté,Web,5
T0019,C003,2024-06-05,63.00,Mode,Web,4
T0020,C003,2024-05-12,32.00,Beauté,Web,5
T0021,C003,2024-04-20,47.00,Mode,Web,4
T0022,C003,2024-03-14,58.00,Beauté,Web,5
T0023,C004,2022-09-18,320.00,Sport,Magasin,4
T0024,C004,2021-11-05,185.00,Sport,Magasin,3
T0025,C005,2024-11-30,125.00,Mode,Web,5
T0026,C005,2024-10-18,89.00,Mode,Web,4
T0027,C005,2024-09-25,210.00,Mode,Web,5
T0028,C005,2024-08-12,67.00,Beauté,Web,5
T0029,C005,2024-07-04,145.00,Mode,Web,4
T0030,C005,2024-06-21,98.00,Mode,Web,5
T0031,C006,2024-06-15,240.00,Maison,Magasin,3
T0032,C006,2024-01-08,185.00,Maison,Magasin,4
T0033,C006,2023-08-20,320.00,Maison,Magasin,3
T0034,C007,2024-12-03,52.00,Beauté,Web,5
T0035,C007,2024-11-15,38.00,Beauté,Web,5
T0036,C007,2024-10-28,45.00,Mode,Web,4
T0037,C007,2024-09-20,61.00,Beauté,Web,5
T0038,C007,2024-08-14,33.00,Mode,Web,5
T0039,C007,2024-07-07,49.00,Beauté,Web,5
T0040,C007,2024-06-25,72.00,Mode,Web,4
T0041,C007,2024-05-18,41.00,Beauté,Web,5
T0042,C007,2024-04-10,55.00,Mode,Web,4
T0043,C007,2024-03-02,38.00,Beauté,Web,5
T0044,C007,2024-02-14,47.00,Mode,Web,5
T0045,C007,2024-01-08,62.00,Beauté,Web,4
T0046,C008,2024-04-22,280.00,Sport,Magasin,4
T0047,C008,2023-10-15,195.00,Sport,Magasin,3
T0048,C008,2023-04-08,420.00,Sport,Magasin,4
T0049,C008,2022-11-20,155.00,Sport,Magasin,4
T0050,C008,2022-03-12,340.00,Sport,Magasin,3
T0051,C009,2024-11-20,78.00,Mode,Web,4
T0052,C009,2024-10-05,145.00,Mode,Web,5
T0053,C009,2024-08-18,92.00,Mode,Web,4
T0054,C009,2024-07-02,67.00,Beauté,Web,5
T0055,C009,2024-05-25,110.00,Mode,Web,4
T0056,C010,2024-07-30,890.00,Electronique,Magasin,3
T0057,C010,2024-02-14,1500.00,Electronique,Magasin,4
T0058,C010,2023-09-08,340.00,Electronique,Magasin,3
